year,scenario,mean_yield,crop
2007,observed,91.35599293311436,Silage Maize
2008,observed,27.65583269447088,Silage Maize
2009,observed,119.60601647694905,Silage Maize
2010,observed,118.24602838553173,Silage Maize
2011,observed,105.72709447145462,Silage Maize
2012,observed,130.5993628501892,Silage Maize
2013,observed,70.35382742541177,Silage Maize
2014,observed,35.075293411811195,Silage Maize
2015,observed,32.31142591105567,Silage Maize
2016,observed,41.6318806608518,Silage Maize
2017,observed,80.0970145397716,Silage Maize
2018,observed,142.7076688494001,Silage Maize
1999,no_thaw,89.62989814464862,Silage Maize
2000,no_thaw,145.52538102013725,Silage Maize
2001,no_thaw,96.136717826128,Silage Maize
2002,no_thaw,63.54579561065744,Silage Maize
2003,no_thaw,88.12968254089355,Silage Maize
2004,no_thaw,126.6011351744334,Silage Maize
2005,no_thaw,156.5688133239746,Silage Maize
2006,no_thaw,133.88901960584852,Silage Maize
2007,no_thaw,78.18983675304212,Silage Maize
2008,no_thaw,57.34893216292063,Silage Maize
2009,no_thaw,119.60601647694905,Silage Maize
2010,no_thaw,144.67123916672497,Silage Maize
2011,no_thaw,111.85577476024628,Silage Maize
2012,no_thaw,144.71176897817188,Silage Maize
2013,no_thaw,65.26586385206743,Silage Maize
2014,no_thaw,26.880632202965874,Silage Maize
2015,no_thaw,21.718932881355286,Silage Maize
2016,no_thaw,35.9810017204533,Silage Maize
2017,no_thaw,88.47754808425903,Silage Maize
2018,no_thaw,142.7076688494001,Silage Maize
1979,observed,13.091125498279448,White Potato
1980,observed,7.826405049266672,White Potato
1981,observed,15.431182951676218,White Potato
1982,observed,5.9668851215825525,White Potato
1983,observed,5.984455725694278,White Potato
1984,observed,7.476910693616402,White Potato
1985,observed,13.067442213432699,White Potato
1986,observed,6.656169379750888,White Potato
1987,observed,6.16745106023171,White Potato
1988,observed,10.017144454286454,White Potato
1989,observed,7.5113729774378815,White Potato
1990,observed,8.336968022279251,White Potato
1991,observed,9.38154390050519,White Potato
1992,observed,8.53181463981619,White Potato
1993,observed,10.739557231573954,White Potato
1994,observed,14.639430242167277,White Potato
1995,observed,9.03571725957585,White Potato
1996,observed,6.564541572126849,White Potato
1997,observed,12.281456425871168,White Potato
1998,observed,7.909725982376507,White Potato
1999,observed,8.601192467283495,White Potato
2000,observed,7.714350320554028,White Potato
2001,observed,7.01959946969252,White Potato
2002,observed,16.00684859071459,White Potato
2003,observed,9.338852105686843,White Potato
2004,observed,12.014243294179966,White Potato
2005,observed,8.511150228197565,White Potato
2006,observed,11.233213373674797,White Potato
2007,observed,11.977105260719352,White Potato
2008,observed,7.720640017260467,White Potato
2009,observed,13.190078922361135,White Potato
2010,observed,16.148400728766983,White Potato
2011,observed,13.085527617822994,White Potato
2012,observed,10.856246080682721,White Potato
2013,observed,15.245559935928673,White Potato
2014,observed,7.0201831068356,White Potato
2015,observed,7.9166784906281835,White Potato
2016,observed,23.466846723534744,White Potato
2017,observed,9.271172381095264,White Potato
2018,observed,14.485882828674557,White Potato
1999,no_thaw,8.728646505158395,White Potato
2000,no_thaw,6.975194254364723,White Potato
2001,no_thaw,7.342656841181745,White Potato
2002,no_thaw,17.392124887986398,White Potato
2003,no_thaw,9.204167817975138,White Potato
2004,no_thaw,12.967983329856155,White Potato
2005,no_thaw,9.85326320771128,White Potato
2006,no_thaw,11.73344559434782,White Potato
2007,no_thaw,11.986667389618724,White Potato
2008,no_thaw,7.936508487061698,White Potato
2009,no_thaw,12.60261391977749,White Potato
2010,no_thaw,19.61306116490994,White Potato
2011,no_thaw,13.042619612571356,White Potato
2012,no_thaw,11.2172259371002,White Potato
2013,no_thaw,15.138600260019302,White Potato
2014,no_thaw,7.1742364622373636,White Potato
2015,no_thaw,7.708168342634661,White Potato
2016,no_thaw,23.457831680137208,White Potato
2017,no_thaw,9.61273354470082,White Potato
2018,no_thaw,17.134487204754834,White Potato
1979,observed,22.092831984810207,Oat
1980,observed,24.861647129058838,Oat
1981,observed,24.50873320232066,Oat
1982,observed,25.027734659752756,Oat
1983,observed,23.676844517389934,Oat
1984,observed,23.969181084632872,Oat
1985,observed,25.385213937078202,Oat
1986,observed,24.687705037810584,Oat
1987,observed,23.79554347711451,Oat
1988,observed,25.10406301732649,Oat
1989,observed,20.362152800268056,Oat
1990,observed,24.774996368252502,Oat
1991,observed,27.85042916668786,Oat
1992,observed,24.783117914199828,Oat
1993,observed,21.791416332893764,Oat
1994,observed,26.74930264198617,Oat
1995,observed,22.704429846543533,Oat
1996,observed,23.729319977037836,Oat
1997,observed,26.08005074535807,Oat
1998,observed,25.554627556800842,Oat
1999,observed,22.86021147979485,Oat
2000,observed,27.37742521157905,Oat
2001,observed,27.125751747668367,Oat
2002,observed,23.111209224597573,Oat
2003,observed,23.773250777022284,Oat
2004,observed,23.990469226225176,Oat
2005,observed,23.328166505869696,Oat
2006,observed,25.857793496307714,Oat
2007,observed,28.896743730856823,Oat
2008,observed,26.191344197792343,Oat
2009,observed,23.0712645704096,Oat
2010,observed,23.360587374108736,Oat
2011,observed,26.176878388197917,Oat
2012,observed,24.45871455418436,Oat
2013,observed,25.86306193122616,Oat
2014,observed,25.852835909012825,Oat
2015,observed,25.185953617095947,Oat
2016,observed,23.825084849222172,Oat
2017,observed,21.86319932676433,Oat
2018,observed,23.737080624727444,Oat
1999,no_thaw,26.304549201114757,Oat
2000,no_thaw,26.412796861475165,Oat
2001,no_thaw,24.851550006318366,Oat
2002,no_thaw,25.35131845633189,Oat
2003,no_thaw,25.524501263610716,Oat
2004,no_thaw,25.153470806355745,Oat
2005,no_thaw,25.027833685278893,Oat
2006,no_thaw,26.24606500986295,Oat
2007,no_thaw,29.005717179467602,Oat
2008,no_thaw,25.687613681871063,Oat
2009,no_thaw,22.738777641739166,Oat
2010,no_thaw,23.414421325201516,Oat
2011,no_thaw,26.498976834722466,Oat
2012,no_thaw,24.129935511157043,Oat
2013,no_thaw,26.41252459875949,Oat
2014,no_thaw,24.65279067846445,Oat
2015,no_thaw,24.405737414079553,Oat
2016,no_thaw,24.03488920860409,Oat
2017,no_thaw,22.755681461801654,Oat
2018,no_thaw,26.261644721895024,Oat
1979,observed,26.23523712158203,Dry Pea
1980,observed,20.3155460357666,Dry Pea
1981,observed,14.50103573572068,Dry Pea
1982,observed,19.95931625366211,Dry Pea
1983,observed,26.08855628967285,Dry Pea
1984,observed,15.949772198994955,Dry Pea
1985,observed,26.570512771606445,Dry Pea
1986,observed,25.5018253326416,Dry Pea
1987,observed,25.459915161132812,Dry Pea
1988,observed,15.77790117263794,Dry Pea
1989,observed,15.41294550895691,Dry Pea
1990,observed,24.191187620162964,Dry Pea
1991,observed,22.138118902842205,Dry Pea
1992,observed,19.561177730560303,Dry Pea
1993,observed,24.894140243530273,Dry Pea
1994,observed,21.04474425315857,Dry Pea
1995,observed,22.932856559753418,Dry Pea
1996,observed,15.349591374397278,Dry Pea
1997,observed,16.873928387959797,Dry Pea
1998,observed,18.45883674621582,Dry Pea
1999,observed,16.046025335788727,Dry Pea
2000,observed,18.80978942800451,Dry Pea
2001,observed,17.466295968918573,Dry Pea
2002,observed,15.722690224647522,Dry Pea
