year,crop,mean_delta,pct_positive,pct_negative
2004,Oat,0.08190148911798396,3.951890034364261,0.286368843069874
2005,Oat,0.044673539518900345,3.264604810996564,0.057273768613974804
2006,Oat,0.024054982817869417,1.9473081328751431,0.859106529209622
2007,Oat,-0.05326460481099656,0.1718213058419244,2.290950744558992
2008,Oat,-0.03493699885452463,0.45819014891179843,1.9473081328751431
2009,Oat,0.013172966781214204,1.43184421534937,0.40091638029782356
2010,Oat,0.10710194730813287,5.097365406643757,0.1718213058419244
2011,Oat,0.03493699885452463,1.9473081328751431,0.1718213058419244
2012,Oat,0.001145475372279496,1.0309278350515463,1.145475372279496
2013,Oat,0.021191294387170677,3.0355097365406642,0.7445589919816723
2014,Oat,-0.014891179839633447,0.6872852233676976,1.5463917525773196
2015,Oat,-0.006872852233676976,0.45819014891179843,1.202749140893471
2016,Oat,0.006872852233676976,1.2600229095074456,0.9736540664375716
2017,Oat,0.019473081328751432,1.8327605956471937,0.45819014891179843
2018,Oat,0.05555555555555555,3.436426116838488,0.40091638029782356
1999,Dry Pea,0.0,0.0,0.0
2000,Dry Pea,0.006300114547537228,0.22909507445589922,0.0
2001,Dry Pea,-0.006872852233676976,0.0,0.3436426116838488
2002,Dry Pea,0.003436426116838488,0.22909507445589922,0.0
2003,Dry Pea,0.00859106529209622,0.3436426116838488,0.0
2004,Dry Pea,0.011454753722794959,0.45819014891179843,0.0
2005,Dry Pea,0.005154639175257732,0.286368843069874,0.0
2006,Dry Pea,-0.010882016036655211,0.0,0.40091638029782356
2007,Dry Pea,0.0057273768613974796,0.286368843069874,0.0
2008,Dry Pea,0.0,0.0,0.0
2009,Dry Pea,0.0,0.0,0.0
2010,Dry Pea,0.006300114547537228,1.088201603665521,0.572737686139748
2011,Dry Pea,0.012027491408934709,0.5154639175257731,0.0
2012,Dry Pea,0.0,0.0,0.0
2013,Dry Pea,-0.001145475372279496,0.0,0.057273768613974804
2014,Dry Pea,0.001145475372279496,0.057273768613974804,0.0
2015,Dry Pea,0.000572737686139748,0.057273768613974804,0.0
2016,Dry Pea,0.003436426116838488,0.1718213058419244,0.0
2017,Dry Pea,0.001718213058419244,0.11454753722794961,0.0
2018,Dry Pea,-0.0074455899198167235,0.1718213058419244,0.3436426116838488
1999,Winter Rape,0.0,0.0,0.0
2000,Winter Rape,0.0,0.0,0.0
2001,Winter Rape,-0.001145475372279496,0.0,0.057273768613974804
2002,Winter Rape,0.001718213058419244,0.22909507445589922,0.11454753722794961
2003,Winter Rape,0.009736540664375716,0.6300114547537228,0.057273768613974804
2004,Winter Rape,0.004581901489117984,0.286368843069874,0.057273768613974804
2005,Winter Rape,0.003436426116838488,0.3436426116838488,0.286368843069874
2006,Winter Rape,0.0057273768613974796,0.40091638029782356,0.057273768613974804
2007,Winter Rape,-0.001145475372279496,0.057273768613974804,0.057273768613974804
2008,Winter Rape,-0.021764032073310423,0.0,1.3172966781214204
2009,Winter Rape,-0.035509736540664374,0.0,1.8327605956471937
2010,Winter Rape,-0.004009163802978236,0.0,0.1718213058419244
2011,Winter Rape,-0.001145475372279496,0.057273768613974804,0.057273768613974804
2012,Winter Rape,-0.002290950744558992,0.0,0.1718213058419244
2013,Winter Rape,-0.002290950744558992,0.057273768613974804,0.1718213058419244
2014,Winter Rape,0.00859106529209622,0.40091638029782356,0.0
2015,Winter Rape,-0.008018327605956471,0.057273768613974804,0.40091638029782356
2016,Winter Rape,-0.005154639175257732,0.1718213058419244,0.5154639175257731
2017,Winter Rape,0.001145475372279496,0.057273768613974804,0.0
2018,Winter Rape,-0.0074455899198167235,0.40091638029782356,0.859106529209622
1999,Spring Rape,-0.05956471935853379,0.9163802978235969,3.8946162657502863
2000,Spring Rape,0.0429553264604811,1.6609392898052693,0.1718213058419244
2001,Spring Rape,-0.006300114547537228,0.572737686139748,1.145475372279496
2002,Spring Rape,0.11626575028636885,5.670103092783505,0.0
2003,Spring Rape,0.04066437571592211,2.176403207331042,0.11454753722794961
2004,Spring Rape,0.053837342497136315,3.0927835051546393,0.11454753722794961
2005,Spring Rape,0.050400916380297825,3.436426116838488,0.40091638029782356
