row,col,mean_delta_suitability,mean_ALT_m,mean_soil_moisture_mm
2,22,0.0,2.271999937295914,157.3160252635917
2,23,0.0,2.1519999474287035,133.62133857363844
2,24,0.0,2.127999949455261,120.63315124724366
2,25,0.0,1.3600000143051147,57.75178805340446
2,26,0.0,1.3210000112652778,99.49614013858385
2,27,0.0,1.1429999984800816,80.59057853049896
2,28,0.0,1.1429999984800816,68.26255659531982
2,29,0.0,1.87099996060133,125.06121106345672
2,30,0.0,1.9359999656677247,84.48921120996962
2,31,0.0,2.1519999474287035,66.55755654113247
2,32,0.0,3.180000066757202,182.2635454134733
2,33,0.0,3.180000066757202,213.82134662010918
2,34,0.0,3.180000066757202,126.804475343064
2,35,0.0,1.3600000143051147,82.966759649348
2,36,0.0,1.3600000143051147,93.43114276600843
2,37,0.0,1.3600000143051147,36.47672686242662
2,38,0.0,1.3600000143051147,43.89237044595417
2,39,0.0,1.8639999717473983,74.16328099073067
2,40,0.0,3.180000066757202,198.39276871937568
2,41,0.0,1.3600000143051147,46.11081797953766
2,42,0.0,0.8399999737739563,23.579657611065564
2,44,0.0,3.180000066757202,343.4507238260838
2,45,0.0,3.180000066757202,264.2712282782023
3,6,0.0,3.180000066757202,213.16522582167823
3,7,0.0,3.180000066757202,200.36146407325495
3,8,0.0,3.180000066757202,174.9685589958219
3,9,0.0,3.180000066757202,168.8999419843547
3,10,0.0,3.180000066757202,205.44453322756698
3,11,0.0,3.180000066757202,141.44070992034864
3,12,0.0,3.180000066757202,284.1660226358968
3,13,0.0,3.180000066757202,222.61105657695884
3,14,-0.007499999999999974,3.180000066757202,219.39760293248946
3,15,0.0,3.180000066757202,315.39340971562325
3,16,0.0,3.180000066757202,212.78475406978822
3,17,0.0,3.180000066757202,88.03002888110663
3,18,0.0,3.137000060081482,184.70323644394597
3,19,0.0,3.158500063419342,194.55563853531697
3,20,-0.0050000000000000044,3.0295000433921815,175.106009973654
3,21,0.0,1.743999981880188,72.17709569757459
3,22,0.0,2.079999953508377,79.59676554644761
3,23,0.0,2.031999957561493,76.82037297992733
3,24,0.0,1.3600000143051147,52.161817533008694
3,25,0.0,1.719999983906746,77.73438810605296
3,26,0.0,2.103999951481819,80.53049586852777
3,27,0.0,1.1429999984800816,60.452887368663326
3,28,0.0,1.1429999984800816,90.0671490883506
3,29,0.0,0.6654999881982804,41.269696625795845
3,30,0.0,0.6209999904036522,24.930401327494415
3,31,0.0,1.1519999980926514,75.96910050551332
3,32,0.0,2.103999951481819,77.62907444532578
3,33,0.0,3.180000066757202,245.36243295058185
3,34,0.0,3.180000066757202,205.7262374486839
3,35,0.0,3.180000066757202,238.4214955898989
3,36,0.0,3.180000066757202,100.58277754204656
3,37,0.0,1.282000008225441,90.71380681464787
3,38,0.0,1.3600000143051147,78.38662356602948
3,39,0.0,1.3080000102519989,93.12418013384317
3,40,0.0,2.319999933242798,147.80613415866742
3,41,0.0,1.3600000143051147,110.86297197820836
3,42,0.0,1.3210000112652778,84.97610655193886
3,43,0.0,1.3600000143051147,44.15915259335471
3,44,0.0,3.180000066757202,190.7104573432424
3,45,0.0,1.3600000143051147,139.92853679086824
3,46,0.0,3.180000066757202,217.37748182636977
3,47,0.0,3.180000066757202,420.843754813344
3,48,0.0,3.180000066757202,351.68653751954406
4,6,0.0,2.319999933242798,79.27290714905166
4,7,0.0,3.180000066757202,170.08804385804208
4,8,0.0,3.180000066757202,147.4007734622612
4,9,0.0,3.180000066757202,139.9982597835938
4,10,0.0,3.180000066757202,153.03318009777746
4,11,0.0,2.271999937295914,66.61917787053301
4,12,0.0,2.271999937295914,125.35213636300432
4,13,0.0,3.180000066757202,93.17804544888504
4,14,0.0,3.180000066757202,159.87242235992886
4,15,0.0,3.180000066757202,141.9950184181942
4,16,0.0,3.158500063419342,196.83136502831536
4,17,-2.2204460492503132e-17,3.137000060081482,182.7310618721655
4,18,0.0,1.9119999676942825,64.73020915483403
4,19,0.0,2.2239999413490295,129.86054185551598
4,20,0.0,1.9119999676942825,118.94323486568749
4,21,0.0,3.008000040054321,172.1120177798303
4,22,0.0,1.9599999636411667,80.22795908234208
4,23,0.0,1.282000008225441,88.4596801823171
4,24,0.0,1.3600000143051147,52.44520702446498
4,25,0.0,1.432000008225441,67.32980876479465
4,26,0.0,1.3470000132918358,66.38807395709465
4,27,0.0,1.9359999656677247,92.5342386239804
4,28,0.0,1.269000007212162,78.73540158376365
4,29,0.0,1.779999953508377,116.39139655646304
4,30,0.0,1.058499999344349,60.00235874204608
4,31,0.0,1.1910000011324882,90.33730272297765
4,32,0.0,1.5280000001192093,97.75205622549751
4,33,0.0,3.180000066757202,198.33136232477992
4,34,0.0,2.1519999474287035,120.50080785367454
4,35,0.0,1.3600000143051147,43.04119346225339
4,36,0.0,1.3600000143051147,93.732218263077
4,37,0.0,1.3600000143051147,106.58694173455085
4,38,0.0,1.3600000143051147,93.89825767384592
4,39,0.0,1.3080000102519989,96.86090198095658
4,40,0.0,1.3600000143051147,82.22308365100335
4,41,0.0,2.319999933242798,253.4484819097469
4,42,0.0,2.319999933242798,146.95135480813593
4,43,0.0,3.180000066757202,486.80002606807204
4,44,0.0,2.079999953508377,193.61723881721292
4,45,0.0,1.3600000143051147,51.387173795528895
4,46,0.0,1.1259999960660934,69.50276367440931
