delta_suit,delta_lgp,delta_fc2,mean_precip
0.0,11.7,0.0,288.25199981562326
0.0,6.2,0.0,338.9358746183105
0.0,0.85,0.0,374.19787513911723
0.0,4.4,0.0,360.7170006020227
0.0,2.2,0.0,346.9968748334562
0.0,0.1,0.0,341.9287505276967
0.0,8.4,0.0,340.1433750478318
0.0,20.65,0.0,337.787250268436
0.0,18.45,0.0,334.582500236202
0.0,0.25,0.0,331.84387549057135
0.0,0.95,0.0,325.717875305051
0.0,0.25,0.0,320.7937498806743
0.0,3.1,0.0,317.4434996346943
0.0,6.35,0.0,318.6352500559762
0.0,11.3,0.0,320.57737489636054
0.0,5.05,0.0,331.60799949322825
0.0,-0.35,0.0,345.2692498859484
0.0,0.1,0.0,358.4497496889438
0.0,0.05,0.0,369.80325042665936
0.0,0.6,0.0,379.967625132855
0.0,1.3,0.0,389.05312501585576
0.0,0.0,0.0,396.73087490659674
0.0,0.1,0.0,402.39974973977075
0.0,7.25,0.0,404.3872507321183
0.0,0.05,0.0,404.33437440025153
0.0,0.25,0.0,373.43775001808535
0.0,16.3,0.15,333.87674975336995
0.0,9.4,-0.05,262.08187507821714
0.0,4.45,0.0,34.93200005174149
0.0,5.3,0.0,42.24862514974084
0.0,7.55,0.0,50.17837510302197
0.0,9.1,0.0,55.893375032884066
0.0,7.55,0.0,61.581750031630506
0.0,8.15,0.0,67.28550001042895
0.0,13.85,0.0,99.18824999432545
0.0,15.65,0.0,103.03274992732331
0.0,17.0,0.0,108.28649996698368
0.0,17.95,0.0,115.77149995309301
0.0,20.9,0.0,124.62712493261787
0.0,22.55,0.0,133.24875030168332
0.0,25.5,0.0,142.03725009507033
0.0,30.4,0.0,151.70812472514808
0.0,31.65,0.0,159.84937480848748
0.0,33.05,0.0,166.97287481860258
0.0,35.2,0.0,175.46325023518875
0.0,37.1,0.0,183.0843747737119
0.0,20.05,0.0,191.28225013925694
0.0,5.5,0.0,199.60012467270718
0.0,5.05,0.0,210.38662500502542
0.0,22.0,0.0,218.84737475628498
0.0,41.1,0.0,218.91374999296386
0.0,43.75,0.0,219.3659997634357
0.0,48.45,0.0,222.82987513141705
0.0,47.35,0.0,227.3261247259332
0.0,48.4,0.0,233.62687484249471
0.0,39.35,0.0,244.56712478934787
0.0,26.4,0.0,256.2697498661466
0.0,11.3,0.0,294.26774973608553
0.0,2.35,0.0,344.6107495750766
0.0,0.65,0.0,380.8762499538716
0.0,0.1,0.0,372.1094999571331
0.0,0.35,0.0,363.05249996967615
0.0,28.85,0.0,365.3047503859969
0.0,0.65,0.0,371.2293750552926
0.0,0.4,0.0,373.8198744641384
0.0,11.25,0.0,367.9031248578103
0.0,8.95,0.0,361.72462472957557
0.0,12.55,0.0,351.88612468033097
0.0,2.05,0.0,341.52037517405114
0.0,0.2,0.0,335.3220001286827
0.0,-0.25,0.0,340.86524991772603
0.0,4.15,0.0,346.47150026373566
0.0,4.5,0.0,354.6101252297405
0.0,5.45,0.0,363.0026251602452
0.0,0.35,0.0,372.13424988577606
0.0,0.15,0.0,382.8247499568621
0.0,0.0,0.0,392.0970007046359
0.0,1.05,0.0,399.1927505253349
0.0,2.05,0.0,404.8931244802428
0.0,1.65,0.0,409.5116248277016
0.0,0.0,0.0,414.04612476411273
0.0,0.35,0.0,415.76700039280115
0.0,13.95,0.05,398.2241251473082
0.0,2.25,0.0,373.7752499765949
0.0,5.55,0.0,347.234250285523
0.0,1.25,0.0,318.54337516997475
0.0,-2.15,0.0,292.0282501083333
0.0,-19.4,0.0,264.40950014200064
0.0,4.65,0.0,41.64337501560804
0.0,6.3,0.0,47.98575007657055
0.0,6.85,0.0,54.76950013712049
0.0,8.8,0.0,61.84800003885757
0.0,9.65,0.0,69.75300009190104
0.0,9.3,0.0,74.91862515369431
0.0,10.7,0.0,80.16787505263929
0.0,14.65,0.0,97.21687492751516
0.0,16.1,0.0,104.37937499650289
0.0,16.6,0.0,107.43412527118343
0.0,19.8,0.0,111.47137513253838
0.0,23.8,0.0,118.4688748621149
0.0,21.4,0.0,127.00162523579783
0.0,22.4,0.0,136.39425001649653
0.0,26.85,0.0,142.5888753930805
0.0,26.3,0.0,150.25912491877096
0.0,28.85,0.0,158.8301246209303
0.0,34.65,0.0,168.2242498742882
0.0,37.55,0.0,178.1433753571473
0.0,42.65,0.0,189.02887521651573
0.0,41.6,0.0,200.35087508691942
0.0,31.05,0.0,211.78687525603453
0.0,7.8,0.0,225.0907501438167
0.0,0.15,0.0,235.44787508838346
0.0,14.65,0.0,232.44599965373055
0.0,27.5,0.0,230.58862467736472
0.0,39.25,0.0,231.66862462423742
0.0,38.0,0.0,234.1743751468137
0.0,38.95,0.0,239.1667499128962
0.0,28.2,0.0,250.84425028718542
0.0,30.15,0.0,263.4390001097228
0.0,12.4,0.0,301.5517501210328
0.0,1.9,0.0,350.19187529995105
0.0,2.15,0.0,387.08362489563876
0.0,1.4,0.0,383.524125158228
0.0,0.1,0.0,379.80675000285265
0.0,12.2,0.0,389.5458751665428
0.0,1.3,0.0,404.05912513849324
0.0,0.5,0.0,412.5761249192525
0.0,0.5,0.0,403.26824936966875
0.0,0.45,0.0,395.27924967773725
0.0,8.55,0.0,380.31225037083493
0.0,8.9,0.0,363.9585002478445
0.0,0.9,0.0,354.6273747324478
0.0,0.25,0.0,364.54762519313954
0.0,0.65,0.0,374.095875497628
0.0,0.95,0.0,378.7424996201415
0.0,0.25,0.0,381.3299999377923
0.0,0.3,0.0,385.45425001406113
0.0,2.1,0.0,394.97100010782015
0.0,0.2,0.0,403.7362502521137
0.0,0.35,0.0,408.9629999008263
0.0,0.0,0.0,412.55062457669993
0.0,1.25,0.0,416.5331251262454
0.0,1.5,0.0,423.853875581827
0.0,-0.1,0.0,428.2916250968119
0.0,0.0,0.0,425.7622496995609
0.0,0.0,0.0,418.3698752190685
0.0,0.0,0.0,400.39200034977404
0.0,0.1,0.0,361.8543750125682
0.0,4.95,0.05,326.3658743993845
0.0,0.85,-0.049445131421089174,298.53112473492513
0.0,-8.85,-0.04906005859375,275.10974999815227
