delta_suit,delta_lgp,delta_fc2,mean_precip
0.0,28.2,0.0,250.8442497253418
0.0,30.15,0.0,263.4390022277832
0.0,12.4,0.0,301.55175628662107
0.0,1.9,0.0,350.1918716430664
0.0,2.15,0.0,387.0836242675781
0.0,1.4,0.0,383.5241271972656
0.0,0.1,0.0,379.8067451477051
0.0,12.2,0.0,389.5458786010742
0.0,1.3,0.0,404.05912017822266
0.0,0.5,0.0,412.5761199951172
0.0,0.5,0.0,403.26824645996095
0.0,0.45,0.0,395.279248046875
0.0,8.55,0.0,380.31225433349607
0.0,8.9,0.0,363.9585021972656
0.0,0.9,0.0,354.627375793457
0.0,0.25,0.0,364.54762268066406
0.0,0.65,0.0,374.0958755493164
0.0,0.95,0.0,378.7425033569336
0.0,0.25,0.0,381.3299987792969
0.0,0.3,0.0,385.4542434692383
0.0,2.1,0.0,394.97100830078125
0.0,0.2,0.0,403.7362487792969
0.0,0.35,0.0,408.9629928588867
0.0,0.0,0.0,412.55061798095704
0.0,1.25,0.0,416.53313598632815
0.0,1.5,0.0,423.85387420654297
0.0,-0.1,0.0,428.2916320800781
0.0,0.0,0.0,425.76224212646486
0.0,0.0,0.0,418.36988067626953
0.0,0.0,0.0,400.3919921875
0.0,0.1,0.0,361.8543701171875
0.0,4.95,0.05,326.36587142944336
0.0,0.85,-0.049445131421089174,298.53112716674804
0.0,-8.85,-0.04866532683372497,275.10974884033203
